"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2006","2006","USD","US Dollar","6","Millions","2015","2015",1025694.323,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2007","2007","USD","US Dollar","6","Millions","2015","2015",1065450.263,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2008","2008","USD","US Dollar","6","Millions","2015","2015",1099543.672,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2009","2009","USD","US Dollar","6","Millions","2015","2015",1108125.189,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2010","2010","USD","US Dollar","6","Millions","2015","2015",1143777.172,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2011","2011","USD","US Dollar","6","Millions","2015","2015",1166797.743,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2012","2012","USD","US Dollar","6","Millions","2015","2015",1185076.75,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2013","2013","USD","US Dollar","6","Millions","2015","2015",1205057.166,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2014","2014","USD","US Dollar","6","Millions","2015","2015",1229532.602,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2015","2015","USD","US Dollar","6","Millions","2015","2015",1254937.63,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2016","2016","USD","US Dollar","6","Millions","2015","2015",1280256.198,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2017","2017","USD","US Dollar","6","Millions","2015","2015",1322053.283,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",1356968.156,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",1380570.379,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2020","2020","USD","US Dollar","6","Millions","2015","2015",1317621.161,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2021","2021","USD","US Dollar","6","Millions","2015","2015",1385437.11,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1990","1990","USD","US Dollar","6","Millions","2015","2015",899644.733,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1991","1991","USD","US Dollar","6","Millions","2015","2015",880877.375,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1992","1992","USD","US Dollar","6","Millions","2015","2015",888807.557,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1993","1993","USD","US Dollar","6","Millions","2015","2015",912457.452,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1994","1994","USD","US Dollar","6","Millions","2015","2015",953467.544,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1995","1995","USD","US Dollar","6","Millions","2015","2015",979153.733,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1996","1996","USD","US Dollar","6","Millions","2015","2015",995007.921,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1997","1997","USD","US Dollar","6","Millions","2015","2015",1037594.658,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1998","1998","USD","US Dollar","6","Millions","2015","2015",1078020.922,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","1999","1999","USD","US Dollar","6","Millions","2015","2015",1133678.211,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2000","2000","USD","US Dollar","6","Millions","2015","2015",1192375.938,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2001","2001","USD","US Dollar","6","Millions","2015","2015",1213719.144,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2002","2002","USD","US Dollar","6","Millions","2015","2015",1250349.801,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2003","2003","USD","US Dollar","6","Millions","2015","2015",1272875.079,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2004","2004","USD","US Dollar","6","Millions","2015","2015",1312168.488,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2005","2005","USD","US Dollar","6","Millions","2015","2015",1354212.997,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2006","2006","USD","US Dollar","6","Millions","2015","2015",1389887.081,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2007","2007","USD","US Dollar","6","Millions","2015","2015",1418683.11,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2008","2008","USD","US Dollar","6","Millions","2015","2015",1432930.791,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2009","2009","USD","US Dollar","6","Millions","2015","2015",1391003.872,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2010","2010","USD","US Dollar","6","Millions","2015","2015",1433984.771,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2011","2011","USD","US Dollar","6","Millions","2015","2015",1479099.373,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2012","2012","USD","US Dollar","6","Millions","2015","2015",1505145.745,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2013","2013","USD","US Dollar","6","Millions","2015","2015",1540202.433,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2014","2014","USD","US Dollar","6","Millions","2015","2015",1584406.798,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2015","2015","USD","US Dollar","6","Millions","2015","2015",1594850.842,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2016","2016","USD","US Dollar","6","Millions","2015","2015",1610821.589,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2017","2017","USD","US Dollar","6","Millions","2015","2015",1659788.636,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",1700113.99,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",1731760.173,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2020","2020","USD","US Dollar","6","Millions","2015","2015",1646998.158,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2021","2021","USD","US Dollar","6","Millions","2015","2015",1721786.487,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1990","1990","USD","US Dollar","6","Millions","2015","2015",176315.865,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1991","1991","USD","US Dollar","6","Millions","2015","2015",163196.52,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1992","1992","USD","US Dollar","6","Millions","2015","2015",157603.477,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1993","1993","USD","US Dollar","6","Millions","2015","2015",163344.919,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1994","1994","USD","US Dollar","6","Millions","2015","2015",177973.555,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1995","1995","USD","US Dollar","6","Millions","2015","2015",183516.418,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1996","1996","USD","US Dollar","6","Millions","2015","2015",184589.306,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1997","1997","USD","US Dollar","6","Millions","2015","2015",214053.093,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1998","1998","USD","US Dollar","6","Millions","2015","2015",217482.56,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","1999","1999","USD","US Dollar","6","Millions","2015","2015",229221.068,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2000","2000","USD","US Dollar","6","Millions","2015","2015",248309.814,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2001","2001","USD","US Dollar","6","Millions","2015","2015",240404.367,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2002","2002","USD","US Dollar","6","Millions","2015","2015",245913.561,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2003","2003","USD","US Dollar","6","Millions","2015","2015",269201.646,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2004","2004","USD","US Dollar","6","Millions","2015","2015",292626.55,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2005","2005","USD","US Dollar","6","Millions","2015","2015",325245.739,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2006","2006","USD","US Dollar","6","Millions","2015","2015",343779.276,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2007","2007","USD","US Dollar","6","Millions","2015","2015",353948.661,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2008","2008","USD","US Dollar","6","Millions","2015","2015",360047.16,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2009","2009","USD","US Dollar","6","Millions","2015","2015",310256.828,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2010","2010","USD","US Dollar","6","Millions","2015","2015",348528.677,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2011","2011","USD","US Dollar","6","Millions","2015","2015",376321.692,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2012","2012","USD","US Dollar","6","Millions","2015","2015",389765.927,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2013","2013","USD","US Dollar","6","Millions","2015","2015",403943.791,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2014","2014","USD","US Dollar","6","Millions","2015","2015",407254.454,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2015","2015","USD","US Dollar","6","Millions","2015","2015",379919.074,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2016","2016","USD","US Dollar","6","Millions","2015","2015",361835.879,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2017","2017","USD","US Dollar","6","Millions","2015","2015",388372.652,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",392215.363,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",395740.26,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2020","2020","USD","US Dollar","6","Millions","2015","2015",356886.397,,
"CAN","Canada","P5","Gross capital formation","VPVOB","Constant prices, constant PPPs, OECD base year","2021","2021","USD","US Dollar","6","Millions","2015","2015",397597.174,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1990","1990","USD","US Dollar","6","Millions","2015","2015",14320.458,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1991","1991","USD","US Dollar","6","Millions","2015","2015",12931.344,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1992","1992","USD","US Dollar","6","Millions","2015","2015",18200.899,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1993","1993","USD","US Dollar","6","Millions","2015","2015",26670.849,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1994","1994","USD","US Dollar","6","Millions","2015","2015",39627.73,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1995","1995","USD","US Dollar","6","Millions","2015","2015",50189.055,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1996","1996","USD","US Dollar","6","Millions","2015","2015",53935.663,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1997","1997","USD","US Dollar","6","Millions","2015","2015",43887.722,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1998","1998","USD","US Dollar","6","Millions","2015","2015",60358.309,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","1999","1999","USD","US Dollar","6","Millions","2015","2015",75403.047,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2000","2000","USD","US Dollar","6","Millions","2015","2015",83994.262,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2001","2001","USD","US Dollar","6","Millions","2015","2015",88773.348,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2002","2002","USD","US Dollar","6","Millions","2015","2015",87700.418,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2003","2003","USD","US Dollar","6","Millions","2015","2015",65499.031,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2004","2004","USD","US Dollar","6","Millions","2015","2015",58317.06,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2005","2005","USD","US Dollar","6","Millions","2015","2015",39635.985,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2006","2006","USD","US Dollar","6","Millions","2015","2015",21208.038,,
