"COUNTRY","Country","PRODUCT","Product","BALANCE","Balance","TIME","Time","Value","Flag Codes","Flags"
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2009","2009",48718,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2010","2010",52783,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2011","2011",51128,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2012","2012",45254,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2013","2013",50412,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2014","2014",51527,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2015","2015",50940,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2016","2016",58862,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2017","2017",57668.978,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2018","2018",58197.215,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2019","2019",52185.2,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2020","2020",52278.265,,
"PRT","Portugal","CBPRODUCT001","Electricity (GWh)","CBBALANCE003","Total net production","2021","2021",49951.293,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1990","1990",6648,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1991","1991",5644,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1992","1992",3834,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1993","1993",3924,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1994","1994",4440,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1995","1995",3979,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1996","1996",3126,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1997","1997",4506,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1998","1998",5797,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1999","1999",4110,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2000","2000",4136,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2001","2001",4280,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2002","2002",3975,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2003","2003",3975,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2004","2004",4689,,
"LVA","Latvia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2005","2005",4906,,
